timestamp,vibration,bearing_temperature,outlet_pressure
2025-01-01T00:00:00Z,2.2063,56.0510,5.7598
2025-01-01T00:05:00Z,2.1973,56.3171,5.7738
2025-01-01T00:10:00Z,2.0819,56.4724,5.8400
2025-01-01T00:15:00Z,2.1023,56.7040,5.7914
2025-01-01T00:20:00Z,2.1381,56.1639,5.8398
2025-01-01T00:25:00Z,2.1411,56.0763,5.7711
2025-01-01T00:30:00Z,2.2040,56.3714,5.7807
2025-01-01T00:35:00Z,2.2218,56.4031,5.8027
2025-01-01T00:40:00Z,2.3237,56.2689,5.8325
2025-01-01T00:45:00Z,2.3483,56.5418,5.8032
2025-01-01T00:50:00Z,2.3253,56.3421,5.8498
2025-01-01T00:55:00Z,2.2753,56.6633,5.8191
2025-01-01T01:00:00Z,2.2707,56.4469,5.8432
2025-01-01T01:05:00Z,2.2830,56.4742,5.8478
2025-01-01T01:10:00Z,2.3557,56.5590,5.8822
2025-01-01T01:15:00Z,2.2214,56.5348,5.7964
2025-01-01T01:20:00Z,2.3465,56.5345,5.8265
2025-01-01T01:25:00Z,2.2589,56.7648,5.8833
2025-01-01T01:30:00Z,2.2261,56.4710,5.8773
2025-01-01T01:35:00Z,2.3162,56.6829,5.8973
2025-01-01T01:40:00Z,2.3000,56.8466,5.8978
2025-01-01T01:45:00Z,2.2952,56.7092,5.8608
2025-01-01T01:50:00Z,2.3724,56.7102,5.8716
2025-01-01T01:55:00Z,2.2090,56.5920,5.8407
2025-01-01T02:00:00Z,2.1890,56.9924,5.8810
2025-01-01T02:05:00Z,2.1951,56.7425,5.9137
2025-01-01T02:10:00Z,2.1913,56.7791,5.9663
2025-01-01T02:15:00Z,2.2571,56.7950,5.9566
2025-01-01T02:20:00Z,2.2160,57.1904,5.9193
2025-01-01T02:25:00Z,2.1959,56.7776,5.9700
2025-01-01T02:30:00Z,2.2152,56.6745,5.9257
2025-01-01T02:35:00Z,2.1401,56.9274,5.9083
2025-01-01T02:40:00Z,2.2029,56.7907,5.9440
2025-01-01T02:45:00Z,2.2207,57.1106,5.9813
2025-01-01T02:50:00Z,2.1745,56.9439,5.8674
2025-01-01T02:55:00Z,2.0968,56.9301,5.8782
2025-01-01T03:00:00Z,2.1512,57.2215,5.8834
2025-01-01T03:05:00Z,2.2186,57.1675,5.9132
2025-01-01T03:10:00Z,2.1325,57.0279,5.9477
2025-01-01T03:15:00Z,2.1094,57.0687,5.9292
2025-01-01T03:20:00Z,2.1385,57.3531,5.9277
2025-01-01T03:25:00Z,2.0304,57.6408,5.8891
2025-01-01T03:30:00Z,2.0658,57.2385,5.9086
2025-01-01T03:35:00Z,2.0946,57.2963,5.9617
2025-01-01T03:40:00Z,2.0520,57.4645,5.9121
2025-01-01T03:45:00Z,2.0167,57.6239,5.8886
2025-01-01T03:50:00Z,2.0042,57.2317,5.9509
2025-01-01T03:55:00Z,2.1131,57.6509,5.9542
2025-01-01T04:00:00Z,2.0980,57.7416,5.9037
2025-01-01T04:05:00Z,2.0385,57.6260,5.9085
2025-01-01T04:10:00Z,2.1245,57.7943,5.9090
2025-01-01T04:15:00Z,2.0755,57.4539,5.8863
2025-01-01T04:20:00Z,2.0107,57.8159,5.9287
2025-01-01T04:25:00Z,1.9474,57.8473,5.8854
2025-01-01T04:30:00Z,2.0975,57.7245,5.9038
2025-01-01T04:35:00Z,2.0677,57.7122,5.8227
2025-01-01T04:40:00Z,2.0605,57.6682,5.8637
2025-01-01T04:45:00Z,1.9981,57.6242,5.9028
2025-01-01T04:50:00Z,2.0619,57.7198,5.8320
2025-01-01T04:55:00Z,2.0149,57.8049,5.8969
2025-01-01T05:00:00Z,2.0774,57.7570,5.8600
2025-01-01T05:05:00Z,2.0511,58.1420,5.8865
2025-01-01T05:10:00Z,2.1447,58.0841,5.8824
2025-01-01T05:15:00Z,2.0040,57.9711,5.8894
2025-01-01T05:20:00Z,2.0280,58.2062,5.8408
2025-01-01T05:25:00Z,2.1730,58.0487,5.8988
2025-01-01T05:30:00Z,2.0581,58.2081,5.8135
2025-01-01T05:35:00Z,2.0714,58.1256,5.8120
2025-01-01T05:40:00Z,2.0708,58.3601,5.8047
2025-01-01T05:45:00Z,2.1028,58.1667,5.8736
2025-01-01T05:50:00Z,2.0930,58.6877,5.7751
2025-01-01T05:55:00Z,2.2303,58.5873,5.7955
2025-01-01T06:00:00Z,2.1472,58.1840,5.7588
2025-01-01T06:05:00Z,2.1757,58.2121,5.7344
2025-01-01T06:10:00Z,2.1902,58.4868,5.8532
2025-01-01T06:15:00Z,2.2166,58.5996,5.7096
2025-01-01T06:20:00Z,2.1607,58.5298,5.8207
2025-01-01T06:25:00Z,2.2424,58.3702,5.7404
2025-01-01T06:30:00Z,2.2163,58.8417,5.8078
2025-01-01T06:35:00Z,2.2023,58.6466,5.7667
2025-01-01T06:40:00Z,2.1105,58.4885,5.8250
2025-01-01T06:45:00Z,2.2588,58.4437,5.7077
2025-01-01T06:50:00Z,2.2774,58.3353,5.7082
2025-01-01T06:55:00Z,2.1445,58.7160,5.7749
2025-01-01T07:00:00Z,2.2427,58.4266,5.7807
2025-01-01T07:05:00Z,2.1548,58.3758,5.7382
2025-01-01T07:10:00Z,2.2199,58.8576,5.7373
2025-01-01T07:15:00Z,2.3484,58.8216,5.7435
2025-01-01T07:20:00Z,2.3324,58.4630,5.7377
2025-01-01T07:25:00Z,2.1947,58.7667,5.7443
2025-01-01T07:30:00Z,2.2168,58.7793,5.7491
2025-01-01T07:35:00Z,2.2173,58.6298,5.6550
2025-01-01T07:40:00Z,2.3553,58.4677,5.6951
2025-01-01T07:45:00Z,2.2605,58.9898,5.7149
2025-01-01T07:50:00Z,2.3137,58.6828,5.7251
2025-01-01T07:55:00Z,2.2556,59.0329,5.7015
2025-01-01T08:00:00Z,2.2022,59.0018,5.6622
2025-01-01T08:05:00Z,2.2138,58.7045,5.6556
2025-01-01T08:10:00Z,2.1932,58.5924,5.6981
2025-01-01T08:15:00Z,2.2977,58.9469,5.6566
2025-01-01T08:20:00Z,2.3221,59.0752,5.6979
2025-01-01T08:25:00Z,2.2188,58.5390,5.7651
2025-01-01T08:30:00Z,2.1839,58.9256,5.6575
2025-01-01T08:35:00Z,2.2826,58.8137,5.6894
2025-01-01T08:40:00Z,2.2181,58.9059,5.6215
2025-01-01T08:45:00Z,2.0963,58.7743,5.6799
2025-01-01T08:50:00Z,2.1911,58.9827,5.6555
2025-01-01T08:55:00Z,2.2385,59.1504,5.7443
2025-01-01T09:00:00Z,2.1079,58.8579,5.6882
2025-01-01T09:05:00Z,2.1978,59.0553,5.6951
2025-01-01T09:10:00Z,2.1625,59.1196,5.7087
2025-01-01T09:15:00Z,2.0351,58.5618,5.6719
2025-01-01T09:20:00Z,2.1164,58.8458,5.7258
2025-01-01T09:25:00Z,2.0351,59.3325,5.7388
2025-01-01T09:30:00Z,2.1670,59.0950,5.7107
2025-01-01T09:35:00Z,2.1323,59.1326,5.6969
2025-01-01T09:40:00Z,1.9823,59.1632,5.6260
2025-01-01T09:45:00Z,2.0104,59.2907,5.7096
2025-01-01T09:50:00Z,1.9568,59.2341,5.6850
2025-01-01T09:55:00Z,1.9783,59.3452,5.7091
2025-01-01T10:00:00Z,2.1695,58.9921,5.7205
2025-01-01T10:05:00Z,1.9419,59.1273,5.6771
2025-01-01T10:10:00Z,2.0465,59.1176,5.6985
2025-01-01T10:15:00Z,1.9827,59.0524,5.7348
2025-01-01T10:20:00Z,2.1828,58.7232,5.6892
2025-01-01T10:25:00Z,2.1280,58.9416,5.7445
2025-01-01T10:30:00Z,1.9395,58.8993,5.7508
2025-01-01T10:35:00Z,1.9832,59.3608,5.7548
2025-01-01T10:40:00Z,2.0924,58.9307,5.6850
2025-01-01T10:45:00Z,2.0334,58.7977,5.7252
2025-01-01T10:50:00Z,2.0652,58.9552,5.6999
2025-01-01T10:55:00Z,1.9491,58.8961,5.7982
2025-01-01T11:00:00Z,2.0930,59.2422,5.7187
2025-01-01T11:05:00Z,2.0327,58.8606,5.7596
2025-01-01T11:10:00Z,2.0533,58.9558,5.7361
2025-01-01T11:15:00Z,2.0525,59.0668,5.7398
2025-01-01T11:20:00Z,2.1235,58.8421,5.7428
2025-01-01T11:25:00Z,2.0877,58.7459,5.7780
2025-01-01T11:30:00Z,2.1679,58.9840,5.7051
2025-01-01T11:35:00Z,2.0931,58.9970,5.7957
2025-01-01T11:40:00Z,2.0303,58.7587,5.7932
2025-01-01T11:45:00Z,2.1210,58.8665,5.8048
2025-01-01T11:50:00Z,2.1353,59.1273,5.7938
2025-01-01T11:55:00Z,2.1100,58.5505,5.8110
2025-01-01T12:00:00Z,2.1959,58.6147,5.7640
2025-01-01T12:05:00Z,2.2049,58.7326,5.8095
2025-01-01T12:10:00Z,2.1815,58.5530,5.8228
2025-01-01T12:15:00Z,2.1578,58.7808,5.7941
2025-01-01T12:20:00Z,2.1102,58.6916,5.7988
2025-01-01T12:25:00Z,2.1866,58.6925,5.8025
2025-01-01T12:30:00Z,2.2546,58.5101,5.8663
2025-01-01T12:35:00Z,2.2447,58.8043,5.8666
2025-01-01T12:40:00Z,2.1723,58.0911,5.7837
2025-01-01T12:45:00Z,2.2345,58.4411,5.8247
2025-01-01T12:50:00Z,2.2664,58.8403,5.8512
2025-01-01T12:55:00Z,2.2719,58.6809,5.8659
2025-01-01T13:00:00Z,2.1873,58.6775,5.8284
2025-01-01T13:05:00Z,2.2012,58.2942,5.9043
2025-01-01T13:10:00Z,2.2442,58.2695,5.8422
2025-01-01T13:15:00Z,2.4264,58.1223,5.9088
2025-01-01T13:20:00Z,2.2374,58.3825,5.8830
2025-01-01T13:25:00Z,2.3555,58.6013,5.8990
2025-01-01T13:30:00Z,2.2968,58.4154,5.8222
2025-01-01T13:35:00Z,2.3392,58.1302,5.8727
2025-01-01T13:40:00Z,2.2797,58.1278,5.9625
2025-01-01T13:45:00Z,2.2558,58.4504,5.8984
2025-01-01T13:50:00Z,2.2815,58.1034,5.8884
2025-01-01T13:55:00Z,2.2140,58.0596,5.9028
2025-01-01T14:00:00Z,2.3839,58.2041,5.9098
2025-01-01T14:05:00Z,2.2564,57.9556,5.9278
2025-01-01T14:10:00Z,2.2039,57.6869,5.9354
2025-01-01T14:15:00Z,2.2944,58.1123,5.9273
2025-01-01T14:20:00Z,2.1919,58.2209,5.8765
2025-01-01T14:25:00Z,2.2422,58.3832,5.8727
2025-01-01T14:30:00Z,2.1633,58.0232,5.8993
2025-01-01T14:35:00Z,2.1987,57.9506,5.9126
2025-01-01T14:40:00Z,2.1188,57.6866,5.9343
2025-01-01T14:45:00Z,2.1955,58.3633,5.9202
2025-01-01T14:50:00Z,2.1215,58.0528,5.9631
2025-01-01T14:55:00Z,2.1499,57.7039,5.9505
2025-01-01T15:00:00Z,2.1578,58.0557,5.9324
2025-01-01T15:05:00Z,2.1095,57.9973,5.8658
2025-01-01T15:10:00Z,2.0576,57.8896,5.9071
2025-01-01T15:15:00Z,2.0472,57.8284,5.9376
2025-01-01T15:20:00Z,2.1604,57.8045,5.9207
2025-01-01T15:25:00Z,2.1286,57.6591,5.9445
2025-01-01T15:30:00Z,2.1784,57.5140,5.9495
2025-01-01T15:35:00Z,2.0286,57.7512,5.9549
2025-01-01T15:40:00Z,2.0285,57.6745,5.9436
2025-01-01T15:45:00Z,2.0121,57.6949,5.8903
2025-01-01T15:50:00Z,2.1037,57.5826,5.8558
2025-01-01T15:55:00Z,1.9895,57.6065,5.9531
2025-01-01T16:00:00Z,2.1050,57.4524,5.8812
2025-01-01T16:05:00Z,1.9807,57.3259,5.8713
2025-01-01T16:10:00Z,2.1002,57.6275,5.9301
2025-01-01T16:15:00Z,2.0216,57.3026,5.8757
2025-01-01T16:20:00Z,2.0320,57.2833,5.9111
2025-01-01T16:25:00Z,2.0170,57.0514,5.9409
2025-01-01T16:30:00Z,2.0664,57.1096,5.9553
2025-01-01T16:35:00Z,1.9977,57.2174,5.9637
2025-01-01T16:40:00Z,2.0166,57.0534,5.8625
2025-01-01T16:45:00Z,1.9323,57.0067,5.8958
2025-01-01T16:50:00Z,1.9968,57.1347,5.8584
2025-01-01T16:55:00Z,1.9662,57.0868,5.7705
2025-01-01T17:00:00Z,1.9593,57.1756,5.8221
2025-01-01T17:05:00Z,2.0571,57.0532,5.8732
2025-01-01T17:10:00Z,2.0017,56.7703,5.8459
2025-01-01T17:15:00Z,2.0908,56.8823,5.8346
2025-01-01T17:20:00Z,2.0657,56.8823,5.7653
2025-01-01T17:25:00Z,2.0373,56.8658,5.7939
2025-01-01T17:30:00Z,2.0574,56.7145,5.7711
2025-01-01T17:35:00Z,2.0321,56.8504,5.7874
2025-01-01T17:40:00Z,2.1251,56.7022,5.8836
2025-01-01T17:45:00Z,2.1854,56.9060,5.8321
2025-01-01T17:50:00Z,2.1827,56.9619,5.8190
2025-01-01T17:55:00Z,2.0829,56.6296,5.8254
2025-01-01T18:00:00Z,2.0065,56.4757,5.8102
2025-01-01T18:05:00Z,2.1628,56.6523,5.8841
2025-01-01T18:10:00Z,2.1491,56.7112,5.7792
2025-01-01T18:15:00Z,2.1554,56.2351,5.8061
2025-01-01T18:20:00Z,2.1236,56.2774,5.6882
2025-01-01T18:25:00Z,2.1783,56.8163,5.7794
2025-01-01T18:30:00Z,2.2604,56.3571,5.8370
2025-01-01T18:35:00Z,2.2428,56.7085,5.7640
2025-01-01T18:40:00Z,2.3295,56.6181,5.8095
2025-01-01T18:45:00Z,2.2610,56.3264,5.7994
