timestamp,compressor_pressure,pneumatic_panel_pressure,oil_temperature,motor_current
2020-04-18T01:00:00+00:00,8.224857,8.762571,74.000000,5.589643
2020-04-18T01:01:00+00:00,8.530333,8.764333,74.008333,5.676667
2020-04-18T01:02:00+00:00,8.515000,8.762000,74.029167,5.661250
2020-04-18T01:03:00+00:00,8.560667,8.765667,73.941667,5.678333
2020-04-18T01:04:00+00:00,8.534333,8.763000,74.112500,5.645833
2020-04-18T01:05:00+00:00,8.566000,8.767000,73.983333,5.651250
2020-04-18T01:06:00+00:00,8.560333,8.763667,74.033333,5.639583
2020-04-18T01:07:00+00:00,8.591000,8.767333,73.941667,5.662917
2020-04-18T01:08:00+00:00,8.603000,8.762000,73.995833,5.674583
2020-04-18T01:09:00+00:00,8.601000,8.765000,73.962500,5.644583
2020-04-18T01:10:00+00:00,8.614000,8.758000,74.141667,5.647917
2020-04-18T01:11:00+00:00,8.630333,8.762667,74.104167,5.679167
2020-04-18T01:12:00+00:00,8.635667,8.757333,74.295833,5.662917
2020-04-18T01:13:00+00:00,8.635667,8.762667,74.150000,5.677500
2020-04-18T01:14:00+00:00,8.638000,8.758000,74.337500,5.649167
2020-04-18T01:15:00+00:00,8.672333,8.762333,74.162500,5.679167
2020-04-18T01:16:00+00:00,8.661000,8.757667,74.141667,5.670417
2020-04-18T01:17:00+00:00,8.691000,8.762333,74.187500,5.737917
2020-04-18T01:18:00+00:00,8.696286,8.754857,74.310714,5.670714
2020-04-18T01:19:00+00:00,8.659000,8.763667,74.212500,5.665000
2020-04-18T01:20:00+00:00,8.729667,8.755667,74.358333,5.679583
2020-04-18T01:21:00+00:00,8.693000,8.764000,74.212500,5.700833
2020-04-18T01:22:00+00:00,8.742667,8.756333,74.287500,5.697500
2020-04-18T01:23:00+00:00,8.699000,8.765667,74.212500,5.687500
2020-04-18T01:24:00+00:00,8.759000,8.756667,74.262500,5.714167
2020-04-18T01:25:00+00:00,8.716667,8.766000,74.279167,5.696667
2020-04-18T01:26:00+00:00,8.776000,8.756333,74.375000,5.692083
2020-04-18T01:27:00+00:00,8.723667,8.765333,74.329167,5.689583
2020-04-18T01:28:00+00:00,8.774333,8.756000,74.312500,5.695833
2020-04-18T01:29:00+00:00,8.252333,8.763333,74.266667,5.602500
2020-04-18T01:30:00+00:00,8.676667,8.754667,74.425000,5.684167
2020-04-18T01:31:00+00:00,8.230333,8.762667,74.345833,5.599167
2020-04-18T01:32:00+00:00,8.351000,8.754333,74.262500,5.600000
2020-04-18T01:33:00+00:00,8.263000,8.760667,74.337500,5.561667
2020-04-18T01:34:00+00:00,8.393667,8.752667,74.350000,5.607500
2020-04-18T01:35:00+00:00,8.269667,8.759000,74.279167,5.590833
2020-04-18T01:36:00+00:00,8.396333,8.750667,74.320833,5.600417
2020-04-18T01:37:00+00:00,8.396000,8.757429,74.310714,5.575714
2020-04-18T01:38:00+00:00,8.436333,8.750000,74.329167,5.606667
2020-04-18T01:39:00+00:00,8.342333,8.756333,74.337500,5.605833
2020-04-18T01:40:00+00:00,8.473667,8.748333,74.333333,5.633750
2020-04-18T01:41:00+00:00,8.389333,8.753667,74.370833,5.605417
2020-04-18T01:42:00+00:00,8.486000,8.747333,74.287500,5.610000
2020-04-18T01:43:00+00:00,8.399000,8.754333,74.291667,5.588750
2020-04-18T01:44:00+00:00,8.531333,8.748000,74.229167,5.631250
